1,2,32768
3,993,32768
1983,2973,32768
4,995,32768
6,997,21845
7,998,43691
9,1000,16384
10,1001,32768
11,1002,49152
13,1004,13107
14,1005,26214
15,1006,39322
16,1007,52429
18,1009,10923
19,1010,21845
20,1011,32768
21,1012,43691
22,1013,54613
24,1015,9362
25,1016,18725
26,1017,28087
27,1018,37449
28,1019,46811
29,1020,56174
31,1022,8192
32,1023,16384
33,1024,24576
34,1025,32768
35,1026,40960
36,1027,49152
37,1028,57344
39,1030,7282
40,1031,14564
41,1032,21845
42,1033,29127
43,1034,36409
44,1035,43691
45,1036,50972
46,1037,58254
48,1039,6554
49,1040,13107
50,1041,19661
51,1042,26214
52,1043,32768
53,1044,39322
54,1045,45875
55,1046,52429
56,1047,58982
58,1049,5958
59,1050,11916
60,1051,17873
61,1052,23831
62,1053,29789
63,1054,35747
64,1055,41705
65,1056,47663
66,1057,53620
67,1058,59578
69,1060,5461
70,1061,10923
71,1062,16384
72,1063,21845
73,1064,27307
74,1065,32768
75,1066,38229
76,1067,43691
77,1068,49152
78,1069,54613
79,1070,60075
81,1072,5041
82,1073,10082
83,1074,15124
84,1075,20165
85,1076,25206
86,1077,30247
87,1078,35289
88,1079,40330
89,1080,45371
90,1081,50412
91,1082,55454
92,1083,60495
94,1085,4681
95,1086,9362
96,1087,14043
97,1088,18725
98,1089,23406
99,1090,28087
100,1091,32768
101,1092,37449
102,1093,42130
103,1094,46811
104,1095,51493
105,1096,56174
106,1097,60855
108,1099,4369
109,1100,8738
110,1101,13107
111,1102,17476
112,1103,21845
113,1104,26214
114,1105,30583
115,1106,34953
116,1107,39322
117,1108,43691
118,1109,48060
119,1110,52429
120,1111,56798
121,1112,61167
123,1114,4096
124,1115,8192
125,1116,12288
126,1117,16384
127,1118,20480
128,1119,24576
129,1120,28672
130,1121,32768
131,1122,36864
132,1123,40960
133,1124,45056
134,1125,49152
135,1126,53248
136,1127,57344
137,1128,61440
139,1130,3855
140,1131,7710
141,1132,11565
142,1133,15420
143,1134,19275
144,1135,23130
145,1136,26985
146,1137,30840
147,1138,34696
148,1139,38551
149,1140,42406
150,1141,46261
151,1142,50116
152,1143,53971
153,1144,57826
154,1145,61681
156,1147,3641
157,1148,7282
158,1149,10923
159,1150,14564
160,1151,18204
161,1152,21845
162,1153,25486
163,1154,29127
164,1155,32768
165,1156,36409
